Plot ,species,Distance ,angel,individual,leaf ID,disc , disc_area,fresh_weight ,dry_weight ,canopy_openness
5,Melastoma_candidum,7.3,110,14,3,5,10,0.0467,0.0137,0.081517
5,Melastoma_candidum,7.3,110,14,4,5,10,0.0464,0.0143,0.081517
5,Melastoma_candidum,7.3,110,14,5,5,10,0.0451,0.014,0.081517
5,Melastoma_candidum,8,100,15,1,5,10,0.0468,0.0121,0.074756
5,Melastoma_candidum,8,100,15,2,5,10,0.0423,0.0119,0.074756
5,Melastoma_candidum,8,100,15,3,5,10,0.0423,0.0116,0.074756
5,Melastoma_candidum,8,100,15,4,5,10,0.0416,0.0116,0.074756
5,Melastoma_candidum,8,100,15,5,5,10,0.042,0.0127,0.074756
5,Melastoma_candidum,8.4,90,16,1,5,10,0.0458,0.0114,0.075847
5,Melastoma_candidum,8.4,90,16,2,5,10,0.0414,0.0106,0.075847
5,Melastoma_candidum,8.4,90,16,3,5,10,0.0449,0.0115,0.075847
5,Melastoma_candidum,8.4,90,16,4,5,10,0.0424,0.012,0.075847
5,Melastoma_candidum,8.4,90,16,5,5,10,0.0459,0.0115,0.075847
5,Melastoma_candidum,9,110,17,1,5,10,0.0422,0.0133,0.065772
5,Melastoma_candidum,9,110,17,2,5,10,0.0463,0.0132,0.065772
5,Melastoma_candidum,9,110,17,3,5,10,0.0451,0.0144,0.065772
5,Melastoma_candidum,9,110,17,4,5,10,0.0419,0.0146,0.065772
5,Melastoma_candidum,9,110,17,5,5,10,0.0453,0.0134,0.065772
5,Melastoma_candidum,9.2,120,18,1,5,10,0.0449,0.0134,0.07223
5,Melastoma_candidum,9.2,120,18,2,5,10,0.046,0.0127,0.07223
5,Melastoma_candidum,9.2,120,18,3,5,10,0.0453,0.013,0.07223
5,Melastoma_candidum,9.2,120,18,4,5,10,0.0447,0.013,0.07223
5,Melastoma_candidum,9.2,120,18,5,5,10,0.0447,0.013,0.07223
5,Melastoma_candidum,9.8,100,19,1,5,10,0.0416,0.0119,0.068315
5,Melastoma_candidum,9.8,100,19,2,5,10,0.043,0.0112,0.068315
5,Melastoma_candidum,9.8,100,19,3,5,10,0.0412,0.0113,0.068315
5,Melastoma_candidum,9.8,100,19,4,5,10,0.0409,0.0111,0.068315
5,Melastoma_candidum,9.8,100,19,5,5,10,0.0411,0.0109,0.068315
2,Colocasia_gigantea ,1.3,195,1,1,7,10,0.1025,0.0177,0.167472
2,Colocasia_gigantea ,1.3,195,1,2,7,10,0.0934,0.0159,0.167472
2,Colocasia_gigantea ,1.3,195,1,3,7,10,0.0999,0.0166,0.167472
2,Colocasia_gigantea ,1.3,195,1,4,7,10,0.0959,0.0159,0.167472
2,Colocasia_gigantea ,1.3,195,1,5,7,10,0.093,0.0168,0.167472
2,Colocasia_gigantea ,1.7,65,2,1,7,10,0.1118,0.0174,0.1428
